Fecha;CO;NO;NO2;NOX;PM10;PM25;SO2;O3
25/06/2015;0.36;15;67;57;39;17;5;
24/06/2015;0.29;11;43;39;29;13;5;
23/06/2015;0.27;11;37;36;25;10;5;
22/06/2015;0.35;18;73;61;33;16;5;
21/06/2015;0.24;9;69;37;21;9;5;
20/06/2015;0.28;8;33;29;18;9;5;
19/06/2015;0.27;13;40;43;16;;5;
18/06/2015;0.28;10;74;45;29;8;5;
17/06/2015;0.24;12;58;52;25;12;5;
16/06/2015;0.24;10;54;39;18;7;5;
15/06/2015;0.28;11;59;46;19;;5;
14/06/2015;0.27;7;46;26;17;4;5;
13/06/2015;0.27;7;38;31;18;8;5;
12/06/2015;0.27;8;47;34;20;;5;
11/06/2015;0.26;6;37;29;16;8;5;
10/06/2015;0.27;8;61;42;19;8;5;
09/06/2015;0.31;9;54;40;43;25;5;
08/06/2015;0.29;7;42;30;35;18;5;
07/06/2015;0.27;8;52;31;19;9;5;
06/06/2015;0.21;11;57;35;18;5;5;
05/06/2015;0.32;16;89;63;38;15;5;
04/06/2015;0.31;11;65;51;39;;5;
03/06/2015;0.28;11;48;43;24;;5;
02/06/2015;0.28;12;82;48;23;10;5;
01/06/2015;0.27;13;56;46;19;7;5;
31/05/2015;0.26;9;47;29;16;7;5;
30/05/2015;0.27;8;40;34;18;9;5;
29/05/2015;0.26;10;35;40;16;;5;
28/05/2015;0.3;11;72;46;26;14;5;
27/05/2015;0.25;9;46;35;23;9;5;
26/05/2015;0.24;12;55;46;16;7;5;
25/05/2015;0.28;11;38;42;16;10;5;
24/05/2015;0.28;7;29;24;12;7;5;
23/05/2015;0.29;11;48;39;17;8;5;
22/05/2015;0.29;13;62;49;18;8;5;
21/05/2015;0.27;13;67;53;16;6;5;
20/05/2015;0.25;10;49;42;9;4;5;
19/05/2015;0.26;16;59;58;12;5;5;
18/05/2015;0.3;21;83;64;21;9;5;
17/05/2015;0.29;8;36;26;9;3;5;
16/05/2015;0.28;10;47;35;;3;5;
15/05/2015;0.25;11;70;39;;3;5;
14/05/2015;0.4;10;41;41;30;11;5;
13/05/2015;0.4;14;92;64;51;23;5;
12/05/2015;0.34;11;101;58;42;17;5;
11/05/2015;0.37;12;99;59;35;14;5;
10/05/2015;0.28;8;51;35;23;9;5;
09/05/2015;0.28;8;35;31;20;8;5;
08/05/2015;0.3;7;37;31;20;7;5;
07/05/2015;0.35;17;77;60;31;11;5;
06/05/2015;0.3;10;63;40;19;7;5;
05/05/2015;0.27;8;66;31;15;6;5;
04/05/2015;0.41;19;81;55;28;12;5;
03/05/2015;0.3;6;30;22;20;8;5;
02/05/2015;0.31;7;40;27;10;5;5;
01/05/2015;0.29;6;36;22;13;5;5;
30/04/2015;0.35;14;50;45;21;9;5;
29/04/2015;0.28;12;48;46;20;8;5;
28/04/2015;0.26;7;34;26;16;6;5;
27/04/2015;0.26;11;67;44;11;4;5;
26/04/2015;0.27;7;50;26;7;;5;
25/04/2015;0.35;5;24;19;10;;5;
24/04/2015;0.4;25;96;86;30;13;6;
23/04/2015;0.36;9;60;44;19;;5;
22/04/2015;0.34;6;32;26;13;7;5;
21/04/2015;0.41;24;86;67;26;10;6;
20/04/2015;0.46;25;73;76;27;9;5;
19/04/2015;0.23;7;32;28;13;5;5;
18/04/2015;0.28;11;51;41;25;11;5;
17/04/2015;0.45;26;75;80;27;12;6;
16/04/2015;0.35;12;103;52;32;11;5;
15/04/2015;0.23;7;51;30;23;8;6;
14/04/2015;0.44;19;128;63;38;12;5;
13/04/2015;0.38;17;128;64;49;14;5;
12/04/2015;0.33;10;39;37;33;12;5;
11/04/2015;0.33;7;40;31;25;12;5;
10/04/2015;0.33;7;45;27;23;10;5;
09/04/2015;0.26;3;7;9;18;7;5;
08/04/2015;0.24;3;4;8;22;8;5;
07/04/2015;0.41;8;18;18;33;11;5;
06/04/2015;0.3;4;10;11;19;7;5;
05/04/2015;0.24;4;3;7;10;5;5;
04/04/2015;0.25;4;5;9;10;3;5;
03/04/2015;0.31;5;9;13;18;9;5;
02/04/2015;0.31;6;13;15;21;7;5;
01/04/2015;0.21;5;16;15;24;7;5;
31/03/2015;0.34;9;49;30;27;11;5;
30/03/2015;0.51;31;87;86;35;13;5;
29/03/2015;0.26;8;38;36;19;7;5;
28/03/2015;0.23;8;36;30;18;9;5;
27/03/2015;0.3;13;72;50;11;4;5;
26/03/2015;0.31;11;62;52;10;4;5;
25/03/2015;0.27;20;76;76;11;3;5;
24/03/2015;0.41;22;83;87;13;6;5;
23/03/2015;0.57;40;106;125;21;9;5;
22/03/2015;0.35;11;62;43;20;8;4;
21/03/2015;0.38;10;38;41;21;9;4;
20/03/2015;0.42;12;45;45;42;20;4;
19/03/2015;0.35;8;47;35;23;10;4;
18/03/2015;0.37;10;72;51;20;8;6;
17/03/2015;0.44;17;102;61;34;12;6;
16/03/2015;0.36;12;76;59;45;19;6;
15/03/2015;0.35;9;52;40;31;15;6;
14/03/2015;0.35;9;48;38;13;6;6;
13/03/2015;0.31;11;55;46;34;10;6;
12/03/2015;0.4;18;86;62;65;29;6;
11/03/2015;0.7;39;102;113;69;35;7;
10/03/2015;0.58;37;110;120;50;17;7;
09/03/2015;0.56;34;101;114;38;14;7;
08/03/2015;0.55;16;90;69;24;12;7;
07/03/2015;0.61;35;115;111;31;13;7;
06/03/2015;0.59;51;115;147;38;13;7;
05/03/2015;0.27;11;51;44;21;7;6;
04/03/2015;0.25;24;92;88;11;3;6;
03/03/2015;0.44;19;76;64;18;7;6;
02/03/2015;0.28;10;53;38;9;4;5;
01/03/2015;0.4;8;38;32;13;5;6;
28/02/2015;0.39;16;67;61;16;7;6;
27/02/2015;0.3;18;76;69;11;4;6;
26/02/2015;0.28;11;63;51;8;4;6;
25/02/2015;0.42;9;54;40;7;4;6;
24/02/2015;0.4;8;53;39;7;3;6;
23/02/2015;0.28;11;56;48;13;5;6;
22/02/2015;0.33;9;58;44;10;3;6;
21/02/2015;0.3;9;44;35;8;3;6;
20/02/2015;0.66;30;77;87;34;17;6;
19/02/2015;0.56;47;95;127;42;19;7;
18/02/2015;0.42;20;75;70;25;10;6;
17/02/2015;0.29;22;67;79;13;7;6;
16/02/2015;0.29;11;65;50;10;3;6;
15/02/2015;0.36;9;43;39;9;3;6;
14/02/2015;0.41;14;84;64;16;8;6;
13/02/2015;0.78;32;84;98;38;20;6;
12/02/2015;0.78;73;119;195;62;34;7;
11/02/2015;0.91;91;133;234;65;37;8;
10/02/2015;0.66;66;131;183;62;28;8;
09/02/2015;0.41;24;107;80;39;14;6;
08/02/2015;0.42;11;58;45;32;18;6;
07/02/2015;0.5;13;58;51;25;15;6;
06/02/2015;0.5;21;63;68;14;6;6;
05/02/2015;0.37;23;68;76;10;4;6;
04/02/2015;0.36;17;58;63;15;5;6;
03/02/2015;0.35;13;63;56;9;;5;
02/02/2015;0.3;13;75;57;9;4;5;
01/02/2015;0.3;7;57;36;7;2;5;
31/01/2015;0.32;7;41;34;;1;5;
30/01/2015;0.35;15;83;61;10;2;5;
29/01/2015;0.37;11;58;45;18;9;5;
28/01/2015;0.32;11;73;52;15;5;5;
27/01/2015;0.25;16;69;64;13;6;6;
26/01/2015;0.32;15;74;63;25;9;6;
25/01/2015;0.3;11;50;43;18;5;6;
24/01/2015;0.58;39;72;106;30;16;6;
23/01/2015;0.47;26;82;92;20;9;6;
22/01/2015;0.41;16;71;66;10;4;6;
21/01/2015;0.33;9;65;46;10;4;5;
20/01/2015;0.36;12;94;57;13;7;6;
19/01/2015;0.36;16;68;66;13;6;6;
18/01/2015;0.36;9;46;40;13;7;5;
17/01/2015;0.35;7;45;33;12;5;5;
16/01/2015;0.39;9;44;40;8;3;5;
15/01/2015;0.4;14;80;49;14;7;5;
14/01/2015;0.54;25;98;72;20;8;6;
13/01/2015;0.47;25;65;70;38;19;6;
12/01/2015;0.47;53;95;135;34;18;6;
11/01/2015;0.37;13;73;50;22;10;5;
10/01/2015;1.66;60;74;136;35;21;7;
09/01/2015;1.77;193;225;374;71;32;9;
08/01/2015;0.82;115;94;234;47;24;7;
07/01/2015;0.52;57;90;143;36;17;6;
06/01/2015;0.45;29;56;87;27;15;6;
05/01/2015;0.41;37;62;101;20;10;6;
04/01/2015;0.52;42;65;113;30;17;6;
03/01/2015;1.32;85;96;188;40;23;7;
02/01/2015;1.36;157;150;315;60;30;9;
01/01/2015;1.15;89;131;197;61;32;7;
